id,m1,m2,q0star,alpha,phi0,tc,dist,incl,seed,created_at,model
79,79.911436,50.497058,0.135082,-0.853493,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
80,14.544803,11.425934,-0.033906,0.190372,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
81,48.974509,12.051409,0.205150,-0.298548,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
82,75.985484,18.410245,-0.225753,0.651122,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
83,78.398321,59.539750,0.044912,-0.740568,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
84,28.570264,24.143541,-0.086687,0.341180,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
85,67.117941,38.351910,-0.152021,0.044548,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
86,50.569039,37.767814,0.278992,-0.881436,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
87,67.090255,59.078562,-0.010428,0.979003,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
88,21.903816,5.962585,0.121061,-0.063930,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
89,72.549163,16.093865,-0.070792,-0.805159,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
90,65.791564,32.336306,0.098160,0.143992,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
91,45.430504,44.813876,-0.212349,-0.249612,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
92,37.144631,19.610929,0.256201,0.832594,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
93,53.211263,27.296751,0.022112,0.535473,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
94,53.713778,14.173777,-0.147023,-0.389992,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
95,74.766761,63.628411,0.182240,0.472362,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
96,38.913164,6.316845,-0.286126,-0.571029,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
97,55.563705,5.016350,-0.094521,-0.100297,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
98,73.650550,11.821478,0.073843,0.950916,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
99,61.257797,52.523145,-0.255414,-0.907554,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
100,41.283922,26.217163,0.213720,0.010120,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
101,74.884216,35.991227,0.147795,0.369739,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
102,43.549429,30.001110,-0.020753,-0.704672,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
103,64.748025,43.113614,0.289759,0.685048,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
104,21.927675,14.866039,-0.179192,-0.271929,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
105,69.489628,23.093269,0.229466,-0.608860,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
106,68.171024,35.395983,-0.202022,0.441834,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
107,56.725046,51.868354,0.087392,-0.414646,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
108,39.469301,8.315958,-0.043620,0.503486,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
109,51.290326,29.614984,-0.278290,0.862616,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
110,60.766396,16.094571,0.153307,-0.211276,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
111,77.140068,76.064341,-0.117361,0.176454,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
112,26.477664,13.314675,0.013541,-0.780980,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
113,79.929741,10.163526,-0.216134,0.731442,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
114,78.757709,24.955155,0.252853,-0.320275,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
115,57.633559,48.161920,-0.057659,0.292110,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
116,31.360798,16.880084,0.110853,-0.625091,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
117,60.623312,40.258318,0.176777,-0.985197,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
118,47.778861,6.762298,-0.292320,0.089716,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
119,68.978350,66.319201,0.036937,-0.053919,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
120,36.221802,19.131950,-0.131464,0.902585,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
121,46.979520,17.986326,0.050428,0.223824,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
122,63.023917,20.405805,-0.080436,-0.826397,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
123,71.755313,46.724645,0.190232,0.784011,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
124,34.358675,30.785975,-0.241402,-0.134624,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
125,65.155567,25.385765,-0.006732,-0.493266,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
126,56.499378,39.729615,0.124316,0.580153,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
127,72.874088,52.393783,-0.165097,-0.561506,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
128,12.647935,9.084133,0.266354,0.396433,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
129,76.727066,8.747408,-0.013088,-0.641338,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
130,72.555638,28.157830,0.117777,0.308304,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
131,56.254206,49.611342,-0.152891,-0.335309,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
132,25.122247,15.430662,0.278743,0.746407,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
133,58.552547,34.603918,0.044082,0.887277,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
134,46.988091,8.833064,-0.086966,-0.038679,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
135,68.971343,63.360713,0.202447,0.073683,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
136,33.569659,18.304704,-0.229003,-0.969218,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
137,43.778063,19.363353,0.178473,-0.149872,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
138,69.264792,23.607262,-0.290514,0.799312,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
139,73.203517,48.138438,0.019997,-0.842369,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
140,40.563071,29.337772,-0.148514,0.239865,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
141,63.083589,31.001150,-0.214430,0.380247,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
142,57.328878,41.801593,0.254668,-0.545251,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
143,78.526235,55.047139,-0.074589,0.565180,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
144,9.994578,9.877155,0.093812,-0.478240,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
145,54.074229,13.600473,-0.267100,0.026314,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
146,77.370971,13.310954,0.164388,-0.923801,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
147,64.491371,61.070505,-0.125026,0.965882,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
148,38.050348,29.974061,0.005986,-0.115331,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
149,72.272127,39.165121,0.240647,-0.256689,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
150,51.509349,32.613199,-0.190951,0.669740,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
151,67.885154,45.153480,0.079718,-0.688692,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
152,22.862438,19.887810,-0.051184,0.353705,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
153,67.999081,14.548233,0.131890,0.518787,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
154,64.411801,36.886531,-0.036475,-0.429893,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
155,59.959691,43.286555,0.292782,0.457875,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
156,35.746555,5.081313,-0.176351,-0.624832,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
157,48.679313,26.480109,-0.110436,-0.764726,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
158,52.767744,18.705584,0.058112,0.160269,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
159,78.103132,73.968428,-0.252400,-0.196250,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
160,24.438873,5.352502,0.216551,0.847643,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
161,51.013302,6.543671,0.033160,0.326124,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
162,75.048625,16.371451,-0.135792,-0.725565,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
163,75.787306,54.068777,0.174717,0.634837,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
164,27.596926,26.754556,-0.293832,-0.282332,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
165,70.352588,36.789560,-0.059753,-0.079940,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
166,44.513772,34.533167,0.109383,0.994945,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
167,65.564667,57.588012,-0.219881,-0.896706,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
168,15.812072,7.453135,0.248485,0.059765,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
169,74.589026,21.562514,-0.167784,0.816644,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
170,66.767228,30.296443,0.263119,-0.233610,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
171,50.319290,42.818418,-0.007546,0.128783,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
172,38.083815,22.223015,0.124052,-0.789881,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
173,56.444835,28.820085,0.189378,-0.586025,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
174,59.807774,10.940205,-0.241635,0.487426,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
175,76.326858,62.138938,0.047784,-0.406216,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
176,40.402638,12.374365,-0.083704,0.551751,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
177,65.455343,11.103550,0.286579,-0.945040,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
178,79.570634,39.429696,-0.181824,0.106145,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
179,58.591895,52.693548,0.147440,-0.000341,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
180,32.155411,12.348027,-0.021659,0.917300,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
181,46.093804,41.643519,-0.255739,0.714420,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
182,49.327639,21.291664,0.212774,-0.359962,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
183,70.869604,70.381860,-0.097734,0.277775,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
184,31.671828,20.662419,0.071254,-0.679170,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
185,60.904923,17.040578,-0.121780,-0.451619,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
186,62.207561,6.480831,0.009672,0.599108,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
187,66.600805,45.760588,-0.279747,-0.509356,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
188,35.940341,33.560628,0.151302,0.408804,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
189,79.062195,24.006288,0.085977,0.205436,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
190,54.954032,25.822557,-0.045658,-0.868488,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
191,71.476299,47.294385,0.225006,0.771226,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
192,17.747476,7.557098,-0.205859,-0.186238,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
193,56.957474,7.987479,0.259650,0.623668,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
194,70.753115,8.083816,-0.208862,-0.458664,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
195,69.975903,54.230683,0.099380,0.430920,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
196,34.909423,24.436503,-0.069608,-0.517861,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
197,76.273648,34.283977,-0.284947,-0.846231,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
198,45.330373,26.268071,0.183456,0.196790,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
199,61.777180,51.827151,-0.143532,-0.161544,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
200,17.763762,15.558032,0.025566,0.764048,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
201,61.783272,21.404057,-0.092535,0.116638,0.000000,0.000000,1000.000000,0.000000,12345,2025-08-23T01:59:12.406392+00:00,default
