chapter,figure_stem,issue,details,path_hint,decision,comment
chapter09,fig_00_p95_check_control,COVERAGE_ONLY,coverage sans PNG ni figure_manifest; has_script=0  has_data=0,,PUBLIC,nan
chapter09,fig_01_phase_overlay,MANIFEST_COVERAGE_NO_PNG,manifest+coverage mais PNG manquant; has_script=1  has_data=0,assets/zz-figures/chapter09/09_fig_01_phase_overlay.png,REBUILD_LATER,auto: REBUILD_LATER (figure avec script; PNG/figure_manifest à régénérer avant publication)
chapter09,fig_02_residual_phase,COVERAGE_ONLY,coverage sans PNG ni figure_manifest; has_script=1  has_data=0,,REBUILD_LATER,auto: REBUILD_LATER (figure avec script; PNG/figure_manifest à régénérer avant publication)
chapter09,fig_03_hist_absdphi_20_300,,,,PUBLIC,
chapter09,fig_03_raw_bins30,COVERAGE_ONLY,coverage sans PNG ni figure_manifest; has_script=0  has_data=0,,PUBLIC,nan
chapter09,fig_03_raw_bins50,COVERAGE_ONLY,coverage sans PNG ni figure_manifest; has_script=0  has_data=0,,PUBLIC,nan
chapter09,fig_03_raw_bins80,COVERAGE_ONLY,coverage sans PNG ni figure_manifest; has_script=0  has_data=0,,PUBLIC,nan
chapter09,fig_03_rebranch_k_bins30,COVERAGE_ONLY,coverage sans PNG ni figure_manifest; has_script=0  has_data=0,,PUBLIC,nan
chapter09,fig_03_rebranch_k_bins50,COVERAGE_ONLY,coverage sans PNG ni figure_manifest; has_script=0  has_data=0,,PUBLIC,nan
chapter09,fig_03_rebranch_k_bins80,COVERAGE_ONLY,coverage sans PNG ni figure_manifest; has_script=0  has_data=0,,PUBLIC,nan
chapter09,fig_03_unwrap_bins30,COVERAGE_ONLY,coverage sans PNG ni figure_manifest; has_script=0  has_data=0,,PUBLIC,nan
chapter09,fig_03_unwrap_bins50,COVERAGE_ONLY,coverage sans PNG ni figure_manifest; has_script=0  has_data=0,,PUBLIC,nan
chapter09,fig_03_unwrap_bins80,COVERAGE_ONLY,coverage sans PNG ni figure_manifest; has_script=0  has_data=0,,PUBLIC,nan
chapter09,fig_04_absdphi_milestones_vs_f,,,,PUBLIC,
chapter09,fig_05_scatter_phi_at_fpeak,COVERAGE_ONLY,coverage sans PNG ni figure_manifest; has_script=1  has_data=0,,REBUILD_LATER,auto: REBUILD_LATER (figure avec script; PNG/figure_manifest à régénérer avant publication)
chapter10,fig_01_iso_p95_maps,,,,PUBLIC,
chapter10,fig_02_scatter_phi_at_fpeak,,,,PUBLIC,
chapter10,fig_03_b_coverage_bootstrap_vs_n_hires,COVERAGE_ONLY,coverage sans PNG ni figure_manifest; has_script=0  has_data=0,,INTERNAL_ONLY,auto: INTERNAL_ONLY (coverage-only; pas de PNG/figure_manifest actuellement)
chapter10,fig_03_convergence_p95_vs_n,,,,PUBLIC,
chapter10,fig_04_scatter_p95_recalc_vs_orig,,,,PUBLIC,
chapter10,fig_05_hist_cdf_metrics,,,,PUBLIC,
chapter10,fig_06_heatmap_absdp95_m1m2,COVERAGE_ONLY,coverage sans PNG ni figure_manifest; has_script=0  has_data=0,,INTERNAL_ONLY,auto: INTERNAL_ONLY (coverage-only; pas de PNG/figure_manifest actuellement)
chapter10,fig_07_summary_comparison,COVERAGE_ONLY,coverage sans PNG ni figure_manifest; has_script=0  has_data=0,,INTERNAL_ONLY,auto: INTERNAL_ONLY (coverage-only; pas de PNG/figure_manifest actuellement)
chapter99,fig_00_tmp,COVERAGE_ONLY,coverage sans PNG ni figure_manifest; has_script=0  has_data=0,,INTERNAL_ONLY,auto: INTERNAL_ONLY (coverage-only; pas de PNG/figure_manifest actuellement)
